City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Yar-Sale,RU,66.8333,70.8333,0.88,88,100,15.23,overcast clouds
236,Kuala Terengganu,MY,5.3302,103.1408,82.98,83,40,9.22,scattered clouds
237,Sarkand,KZ,45.41,79.9186,22.82,83,100,2.51,overcast clouds
238,Tasiilaq,GL,65.6145,-37.6368,8.37,70,0,10.09,clear sky
239,Te Anau,NZ,-45.4167,167.7167,63.34,72,71,5.55,broken clouds
240,Mao,ES,39.8885,4.2658,63.16,100,40,12.66,scattered clouds
241,Kavieng,PG,-2.5744,150.7967,83.25,72,98,4.79,overcast clouds
242,Sisian,AM,39.5256,46.0251,32.09,92,56,5.99,broken clouds
243,Haines Junction,CA,60.7522,-137.5108,3.15,85,89,4.61,overcast clouds
244,Salinas,US,36.6777,-121.6555,51.08,72,18,1.3,few clouds
245,Madang,PG,-5.2246,145.7966,86.09,68,95,5.59,overcast clouds
246,Katsuura,JP,35.1333,140.3,60.82,52,0,35.75,clear sky
247,Kovin,RS,44.7475,20.9761,34.14,62,86,7.45,overcast clouds
248,Lockhart,US,28.6194,-81.4426,67.93,95,100,8.97,overcast clouds
249,Georgetown,MY,5.4112,100.3354,80.53,81,20,4.61,few clouds
250,Tumpat,MY,6.1978,102.171,82.38,74,20,10.36,few clouds
251,Lumphat,KH,13.4878,106.9816,74.97,56,29,4.59,scattered clouds
252,Flinders,AU,-34.5833,150.8552,72.18,38,33,11.99,scattered clouds
253,Ancud,CL,-41.8697,-73.8203,55.78,83,100,5.86,overcast clouds
254,Talaya,RU,61.3833,152.75,-45.76,99,73,0.94,broken clouds
255,Hendrina,ZA,-26.1588,29.7153,56.03,93,9,2.73,clear sky
256,Itoman,JP,26.1247,127.6694,64.42,68,75,13.8,broken clouds
257,Coahuayana,MX,18.7333,-103.6833,71.58,91,14,0.76,few clouds
258,Hithadhoo,MV,-0.6,73.0833,80.78,74,100,8.99,overcast clouds
259,Jiblah,YE,13.9216,44.1467,54.48,69,4,2.24,clear sky
260,Ust-Tsilma,RU,65.441,52.1498,23.34,94,100,8.08,light snow
261,Tommot,RU,58.9564,126.2925,-35.7,99,100,0.51,overcast clouds
262,Cockburn Town,TC,21.4612,-71.1419,77.5,65,0,8.84,clear sky
263,Inta,RU,66.0317,60.1659,12.0,95,100,6.67,light snow
264,Boden,SE,65.8252,21.6886,6.8,94,100,6.17,overcast clouds
265,Nome,US,64.5011,-165.4064,0.21,90,5,6.4,clear sky
266,Bay City,US,43.5945,-83.8889,30.31,86,0,8.05,clear sky
267,Najran,SA,17.4924,44.1277,56.05,60,0,1.05,clear sky
268,Srednekolymsk,RU,67.45,153.6833,-34.78,99,93,10.29,overcast clouds
269,Petauke,ZM,-14.2426,31.3253,64.89,91,94,2.75,overcast clouds
270,Kodiak,US,57.79,-152.4072,36.93,88,100,3.31,overcast clouds
271,Awjilah,LY,29.1081,21.2869,61.63,74,23,6.29,few clouds
272,Oropoli,HN,13.8167,-86.8167,68.76,77,57,3.94,broken clouds
273,Codrington,AU,-38.2667,141.9667,56.14,59,99,17.74,overcast clouds
274,Kyabram,AU,-36.3167,145.05,59.02,50,92,15.21,overcast clouds
275,Saint George,US,37.1041,-113.5841,41.59,59,0,5.75,clear sky
276,Saint Anthony,US,45.0205,-93.218,34.66,91,100,19.57,moderate rain
277,Rundu,NA,-17.9333,19.7667,66.9,80,62,2.91,broken clouds
278,Puerto Leguizamo,CO,-0.1934,-74.7819,71.51,99,100,2.35,overcast clouds
279,Kukes,AL,42.0769,20.4219,40.68,97,100,1.01,overcast clouds
280,Waipawa,NZ,-41.4122,175.5153,68.4,66,100,7.67,overcast clouds
281,Kawalu,ID,-7.3817,108.2082,81.16,77,91,2.06,overcast clouds
282,Sao Joao Da Barra,BR,-21.6403,-41.0511,73.17,90,100,21.07,overcast clouds
283,Birjand,IR,32.8663,59.2211,32.47,64,0,9.22,clear sky
284,College,US,64.8569,-147.8028,14.9,82,100,1.95,overcast clouds
285,Vilyuysk,RU,63.7553,121.6247,-36.36,100,100,3.85,overcast clouds
286,Port Hawkesbury,CA,45.6169,-61.3485,33.62,96,100,28.99,snow
287,Galle,LK,6.0367,80.217,76.35,83,24,2.57,few clouds
288,Devils Lake,US,48.1128,-98.8651,28.51,94,100,20.71,mist
289,Hashtrud,IR,37.4779,47.0508,39.74,80,100,9.53,overcast clouds
290,Flin Flon,CA,54.7682,-101.865,-1.3,99,62,1.34,broken clouds
291,Cairns,AU,-16.9167,145.7667,94.06,72,43,11.5,scattered clouds
292,Lasa,IT,46.6166,10.7002,27.01,82,96,2.39,overcast clouds
293,Ostrovnoy,RU,68.0531,39.5131,22.89,86,100,14.88,overcast clouds
294,Khorixas,NA,-20.3667,14.9667,70.77,27,99,1.57,overcast clouds
295,Bilibino,RU,68.0546,166.4372,-45.94,100,99,0.45,overcast clouds
296,Carutapera,BR,-1.195,-46.02,77.5,81,8,6.64,clear sky
297,Voh,NC,-20.9667,164.7,84.85,56,2,6.87,clear sky
298,Zenzeli,RU,45.9241,47.0474,28.94,82,88,11.92,overcast clouds
299,Acajutla,SV,13.5928,-89.8275,76.42,81,50,3.76,scattered clouds
300,Beringovskiy,RU,63.05,179.3167,17.29,90,100,7.05,overcast clouds
301,Impfondo,CG,1.6381,18.0667,69.03,91,79,2.57,broken clouds
302,Pafos,CY,34.7667,32.4167,60.58,88,100,0.0,light rain
303,Hobyo,SO,5.3505,48.5268,76.42,70,2,14.99,clear sky
304,Kruisfontein,ZA,-34.0033,24.7314,64.89,95,9,6.6,clear sky
305,Lhokseumawe,ID,5.1801,97.1507,75.06,95,100,8.03,overcast clouds
306,Belaya Gora,RU,68.5333,146.4167,-17.43,96,100,7.74,overcast clouds
307,Monrovia,LR,6.3005,-10.7969,78.53,82,1,2.95,clear sky
308,Kavaratti,IN,10.5669,72.642,81.14,73,85,15.32,overcast clouds
309,Normandin,CA,48.8333,-72.5321,14.31,73,26,11.5,scattered clouds
310,Kalianget,ID,-7.05,113.9333,84.61,68,100,0.56,overcast clouds
311,Mezhdurechensk,RU,53.6942,88.0603,-1.39,100,100,1.01,overcast clouds
312,Rincon De La Victoria,ES,36.7172,-4.2758,67.08,93,53,5.28,light rain
313,Poso,ID,-1.3959,120.7524,79.21,87,99,2.66,light rain
314,Kade,DE,52.3833,12.2667,18.09,92,86,3.98,overcast clouds
315,Leonidovo,RU,49.2833,142.8667,14.13,73,39,8.59,scattered clouds
316,Dwarka,IN,22.2394,68.9678,74.93,71,88,15.79,overcast clouds
317,Dunedin,NZ,-45.8742,170.5036,64.42,69,35,9.57,scattered clouds
318,Half Moon Bay,US,37.4636,-122.4286,51.31,77,0,7.18,clear sky
319,Livingstone,ZM,-17.8419,25.8543,71.06,67,99,3.0,overcast clouds
320,Coquimbo,CL,-29.9533,-71.3436,62.33,94,100,6.91,overcast clouds
321,Tarakan,ID,3.3,117.6333,80.1,89,75,5.75,light rain
322,Blackwater,AU,-23.5833,148.8833,85.93,51,85,3.8,overcast clouds
323,Padang,ID,-0.9492,100.3543,75.25,93,100,1.95,overcast clouds
324,Shuyskoye,RU,59.3736,41.0305,16.86,87,80,11.68,broken clouds
325,Sao Filipe,CV,14.8961,-24.4956,78.26,60,1,6.6,clear sky
326,San Carlos De Bariloche,AR,-41.1456,-71.3082,56.95,62,75,17.27,broken clouds
327,Marsh Harbour,BS,26.5412,-77.0636,71.8,66,86,19.46,overcast clouds
328,Singaparna,ID,-7.3515,108.111,80.58,77,84,2.35,broken clouds
329,Chake Chake,TZ,-5.2459,39.7666,76.17,86,9,4.38,clear sky
330,Qarayeri,AZ,40.7886,46.3066,40.08,81,75,6.91,broken clouds
331,Pueblo,US,38.2545,-104.6091,24.57,69,100,1.99,overcast clouds
332,Pangoa,PE,-12.1167,-73.0,67.87,99,100,2.66,overcast clouds
333,Biak,ID,-0.9131,122.8766,78.91,82,92,3.87,overcast clouds
334,Chastyye,RU,57.2888,54.9728,-2.69,91,11,3.96,few clouds
335,Yei,SS,4.095,30.6779,66.11,90,99,3.38,overcast clouds
336,Shakawe,BW,-18.3667,21.85,70.59,69,27,2.3,scattered clouds
337,Kyritz,DE,52.9421,12.397,19.81,85,8,6.13,clear sky
338,Ambulu,ID,-8.345,113.6058,84.34,71,91,1.41,overcast clouds
339,Zverinogolovskoye,RU,54.4586,64.8542,3.56,96,49,5.46,scattered clouds
340,Fort-Shevchenko,KZ,44.5086,50.263,35.98,66,100,10.89,overcast clouds
341,Turinskaya Sloboda,RU,57.6232,64.3858,-2.9,99,81,6.11,broken clouds
