City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
252,Flinders,AU,72.18,scattered clouds,-34.5833,150.8552,No hotel found
257,Coahuayana,MX,71.58,few clouds,18.7333,-103.6833,No hotel found
258,Hithadhoo,MV,80.78,overcast clouds,-0.6,73.0833,Pebbles Inn
262,Cockburn Town,TC,77.5,clear sky,21.4612,-71.1419,The Salt Raker Inn
278,Puerto Leguizamo,CO,71.51,overcast clouds,-0.1934,-74.7819,Hotel Girasoles
281,Kawalu,ID,81.16,overcast clouds,-7.3817,108.2082,Hotel Surya
282,Sao Joao Da Barra,BR,73.17,overcast clouds,-21.6403,-41.0511,Pousada Mediterrâneo
287,Galle,LK,76.35,few clouds,6.0367,80.217,Jungle Hostel Villa
291,Cairns,AU,94.06,scattered clouds,-16.9167,145.7667,Cairns Queens Court Accommodation
296,Carutapera,BR,77.5,clear sky,-1.195,-46.02,No hotel found
297,Voh,NC,84.85,clear sky,-20.9667,164.7,Le Vook
299,Acajutla,SV,76.42,scattered clouds,13.5928,-89.8275,Hotel Lara
303,Hobyo,SO,76.42,clear sky,5.3505,48.5268,No hotel found
305,Lhokseumawe,ID,75.06,overcast clouds,5.1801,97.1507,Vina Vira Hotel
307,Monrovia,LR,78.53,clear sky,6.3005,-10.7969,Bella Casa Hotel
308,Kavaratti,IN,81.14,overcast clouds,10.5669,72.642,No hotel found
310,Kalianget,ID,84.61,overcast clouds,-7.05,113.9333,No hotel found
313,Poso,ID,79.21,light rain,-1.3959,120.7524,Nusantara
316,Dwarka,IN,74.93,overcast clouds,22.2394,68.9678,The Dwarika Hotel
319,Livingstone,ZM,71.06,overcast clouds,-17.8419,25.8543,New Fairmount Hotel and Casino
321,Tarakan,ID,80.1,light rain,3.3,117.6333,Hotel Dynasty
322,Blackwater,AU,85.93,overcast clouds,-23.5833,148.8833,No hotel found
323,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,losmen Surya
325,Sao Filipe,CV,78.26,clear sky,14.8961,-24.4956,Bela Vista
327,Marsh Harbour,BS,71.8,overcast clouds,26.5412,-77.0636,Lofty Fig Villas
328,Singaparna,ID,80.58,broken clouds,-7.3515,108.111,No hotel found
329,Chake Chake,TZ,76.17,clear sky,-5.2459,39.7666,Annex Pemba Hotel
333,Biak,ID,78.91,overcast clouds,-0.9131,122.8766,No hotel found
336,Shakawe,BW,70.59,scattered clouds,-18.3667,21.85,No hotel found
338,Ambulu,ID,84.34,overcast clouds,-8.345,113.6058,Hotel Ambulu
343,Adrar,MR,72.12,clear sky,20.5022,-10.0711,No hotel found
344,Ambon,ID,87.94,scattered clouds,-3.6954,128.1814,Hotel Hero
346,Banes,CU,72.9,clear sky,20.9625,-75.7186,No hotel found
349,Bosaso,SO,71.28,clear sky,11.2842,49.1816,Bosaso hotel
352,Caravelas,BR,74.43,moderate rain,-17.7125,-39.2481,Pousada dos Navegantes
355,San Matias,BO,77.13,broken clouds,-16.3667,-58.4,Hotel San Jose
358,Altamira,BR,76.96,broken clouds,-3.2033,-52.2064,Hotel Vale do Xingu
359,Nuevo Progreso,MX,76.46,clear sky,23.1667,-97.95,No hotel found
361,Durban,ZA,74.32,broken clouds,-29.8579,31.0292,Tudor
